"pclass","survived","sex","age","Category"
"First Class","Alive","female",29,"Adult"
"First Class","Alive","male",0.9167,"Infant"
"First Class","Dead","female",2,"Infant"
"First Class","Dead","male",30,"Adult"
"First Class","Dead","female",25,"Adult"
"First Class","Alive","male",48,"Adult"
"First Class","Dead","male",39,"Adult"
"First Class","Alive","female",53,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Alive","female",18,"Teenager"
"First Class","Alive","female",24,"Adult"
"First Class","Alive","female",26,"Adult"
"First Class","Dead","male",24,"Adult"
"First Class","Alive","female",50,"Adult"
"First Class","Alive","female",32,"Adult"
"First Class","Dead","male",36,"Adult"
"First Class","Alive","male",37,"Adult"
"First Class","Alive","female",47,"Adult"
"First Class","Alive","male",26,"Adult"
"First Class","Alive","female",42,"Adult"
"First Class","Alive","female",29,"Adult"
"First Class","Dead","male",25,"Adult"
"First Class","Alive","male",25,"Adult"
"First Class","Alive","female",19,"Teenager"
"First Class","Alive","female",35,"Adult"
"First Class","Alive","male",28,"Adult"
"First Class","Dead","male",45,"Adult"
"First Class","Alive","male",40,"Adult"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","female",58,"Adult"
"First Class","Dead","male",42,"Adult"
"First Class","Alive","female",45,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Dead","male",41,"Adult"
"First Class","Dead","male",48,"Adult"
"First Class","Alive","female",44,"Adult"
"First Class","Alive","female",59,"Adult"
"First Class","Alive","female",41,"Adult"
"First Class","Dead","male",45,"Adult"
"First Class","Alive","male",42,"Adult"
"First Class","Alive","female",53,"Adult"
"First Class","Alive","male",36,"Adult"
"First Class","Alive","female",58,"Adult"
"First Class","Dead","male",33,"Adult"
"First Class","Dead","male",28,"Adult"
"First Class","Dead","male",17,"Teenager"
"First Class","Alive","male",11,"Teenager"
"First Class","Alive","female",14,"Teenager"
"First Class","Alive","male",36,"Adult"
"First Class","Alive","female",36,"Adult"
"First Class","Dead","male",49,"Adult"
"First Class","Dead","male",36,"Adult"
"First Class","Dead","male",46,"Adult"
"First Class","Alive","female",47,"Adult"
"First Class","Alive","male",27,"Adult"
"First Class","Alive","female",33,"Adult"
"First Class","Alive","female",36,"Adult"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","male",45,"Adult"
"First Class","Dead","male",27,"Adult"
"First Class","Alive","female",26,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Alive","female",39,"Adult"
"First Class","Dead","male",37,"Adult"
"First Class","Alive","female",55,"Adult"
"First Class","Alive","female",36,"Adult"
"First Class","Dead","male",39,"Adult"
"First Class","Alive","female",38,"Adult"
"First Class","Alive","male",51,"Adult"
"First Class","Alive","male",27,"Adult"
"First Class","Alive","female",33,"Adult"
"First Class","Dead","male",31,"Adult"
"First Class","Alive","female",27,"Adult"
"First Class","Alive","male",31,"Adult"
"First Class","Alive","female",17,"Teenager"
"First Class","Alive","male",53,"Adult"
"First Class","Alive","male",4,"Infant"
"First Class","Alive","female",54,"Adult"
"First Class","Dead","male",50,"Adult"
"First Class","Alive","female",27,"Adult"
"First Class","Alive","female",48,"Adult"
"First Class","Alive","female",48,"Adult"
"First Class","Alive","male",49,"Adult"
"First Class","Dead","male",39,"Adult"
"First Class","Alive","female",23,"Adult"
"First Class","Alive","female",38,"Adult"
"First Class","Alive","female",54,"Adult"
"First Class","Dead","female",36,"Adult"
"First Class","Alive","male",36,"Adult"
"First Class","Dead","male",30,"Adult"
"First Class","Alive","female",24,"Adult"
"First Class","Alive","female",28,"Adult"
"First Class","Alive","female",23,"Adult"
"First Class","Dead","male",19,"Teenager"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","male",50,"Adult"
"First Class","Alive","male",43,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Alive","female",48,"Adult"
"First Class","Dead","male",37,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Alive","female",45,"Adult"
"First Class","Dead","male",24,"Adult"
"First Class","Alive","male",49,"Adult"
"First Class","Alive","male",53,"Adult"
"First Class","Alive","female",19,"Teenager"
"First Class","Dead","male",38,"Adult"
"First Class","Alive","female",58,"Adult"
"First Class","Alive","male",23,"Adult"
"First Class","Alive","female",45,"Adult"
"First Class","Dead","male",46,"Adult"
"First Class","Alive","male",25,"Adult"
"First Class","Alive","female",25,"Adult"
"First Class","Alive","male",48,"Adult"
"First Class","Alive","female",49,"Adult"
"First Class","Dead","male",45,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Dead","male",40,"Adult"
"First Class","Alive","male",27,"Adult"
"First Class","Alive","female",24,"Adult"
"First Class","Dead","male",55,"Adult"
"First Class","Alive","female",52,"Adult"
"First Class","Dead","male",42,"Adult"
"First Class","Dead","male",55,"Adult"
"First Class","Alive","female",16,"Teenager"
"First Class","Alive","female",44,"Adult"
"First Class","Alive","female",51,"Adult"
"First Class","Dead","male",42,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Alive","male",35,"Adult"
"First Class","Alive","male",38,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Alive","female",38,"Adult"
"First Class","Dead","female",50,"Adult"
"First Class","Alive","male",49,"Adult"
"First Class","Dead","male",46,"Adult"
"First Class","Dead","male",50,"Adult"
"First Class","Dead","male",32.5,"Adult"
"First Class","Dead","male",58,"Adult"
"First Class","Dead","male",41,"Adult"
"First Class","Alive","male",42,"Adult"
"First Class","Alive","female",45,"Adult"
"First Class","Alive","female",39,"Adult"
"First Class","Alive","female",49,"Adult"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","male",35,"Adult"
"First Class","Dead","male",42,"Adult"
"First Class","Alive","female",55,"Adult"
"First Class","Alive","female",16,"Teenager"
"First Class","Alive","female",51,"Adult"
"First Class","Dead","male",29,"Adult"
"First Class","Alive","female",21,"Adult"
"First Class","Dead","male",30,"Adult"
"First Class","Alive","female",58,"Adult"
"First Class","Alive","female",15,"Teenager"
"First Class","Dead","male",30,"Adult"
"First Class","Alive","female",16,"Teenager"
"First Class","Dead","male",19,"Teenager"
"First Class","Alive","female",18,"Teenager"
"First Class","Alive","female",24,"Adult"
"First Class","Dead","male",46,"Adult"
"First Class","Dead","male",54,"Adult"
"First Class","Alive","male",36,"Adult"
"First Class","Dead","male",28,"Adult"
"First Class","Dead","male",44,"Adult"
"First Class","Alive","female",33,"Adult"
"First Class","Alive","female",37,"Adult"
"First Class","Alive","male",30,"Adult"
"First Class","Dead","male",55,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Dead","male",37,"Adult"
"First Class","Alive","female",31,"Adult"
"First Class","Alive","female",23,"Adult"
"First Class","Dead","male",58,"Adult"
"First Class","Alive","female",19,"Teenager"
"First Class","Alive","female",39,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Dead","male",28.5,"Adult"
"First Class","Dead","male",45.5,"Adult"
"First Class","Dead","male",23,"Adult"
"First Class","Dead","male",29,"Adult"
"First Class","Alive","female",22,"Adult"
"First Class","Dead","male",18,"Teenager"
"First Class","Alive","female",17,"Teenager"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","male",52,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Alive","female",56,"Adult"
"First Class","Dead","male",38,"Adult"
"First Class","Dead","male",22,"Adult"
"First Class","Alive","female",43,"Adult"
"First Class","Dead","male",31,"Adult"
"First Class","Alive","male",45,"Adult"
"First Class","Alive","female",33,"Adult"
"First Class","Dead","male",46,"Adult"
"First Class","Dead","male",36,"Adult"
"First Class","Alive","female",33,"Adult"
"First Class","Dead","male",55,"Adult"
"First Class","Alive","female",54,"Adult"
"First Class","Dead","male",33,"Adult"
"First Class","Alive","male",13,"Teenager"
"First Class","Alive","female",18,"Teenager"
"First Class","Alive","female",21,"Adult"
"First Class","Alive","female",48,"Adult"
"First Class","Alive","female",24,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Alive","female",30,"Adult"
"First Class","Alive","male",34,"Adult"
"First Class","Alive","female",40,"Adult"
"First Class","Alive","male",35,"Adult"
"First Class","Dead","male",50,"Adult"
"First Class","Alive","female",39,"Adult"
"First Class","Alive","male",56,"Adult"
"First Class","Alive","male",28,"Adult"
"First Class","Dead","male",56,"Adult"
"First Class","Dead","male",56,"Adult"
"First Class","Dead","male",24,"Adult"
"First Class","Alive","female",18,"Teenager"
"First Class","Alive","male",24,"Adult"
"First Class","Alive","female",23,"Adult"
"First Class","Alive","male",6,"Infant"
"First Class","Alive","male",45,"Adult"
"First Class","Alive","female",40,"Adult"
"First Class","Dead","male",57,"Adult"
"First Class","Alive","male",32,"Adult"
"First Class","Alive","male",54,"Adult"
"First Class","Alive","female",43,"Adult"
"First Class","Alive","female",52,"Adult"
"First Class","Alive","female",48,"Adult"
"First Class","Alive","female",18,"Teenager"
"First Class","Dead","male",52,"Adult"
"First Class","Alive","female",39,"Adult"
"First Class","Alive","male",48,"Adult"
"First Class","Dead","male",49,"Adult"
"First Class","Alive","male",17,"Teenager"
"First Class","Alive","female",39,"Adult"
"First Class","Alive","male",31,"Adult"
"First Class","Dead","male",40,"Adult"
"First Class","Dead","male",47,"Adult"
"First Class","Alive","female",35,"Adult"
"First Class","Dead","male",54,"Adult"
"First Class","Dead","male",21,"Adult"
"First Class","Alive","female",55,"Adult"
"First Class","Alive","female",31,"Adult"
"First Class","Dead","male",57,"Adult"
"First Class","Alive","female",45,"Adult"
"First Class","Dead","male",50,"Adult"
"First Class","Dead","male",27,"Adult"
"First Class","Alive","female",50,"Adult"
"First Class","Alive","female",21,"Adult"
"First Class","Dead","male",51,"Adult"
"First Class","Alive","male",21,"Adult"
"First Class","Alive","female",31,"Adult"
"First Class","Alive","female",36,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Alive","female",28,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Alive","female",36,"Adult"
"Second Class","Dead","male",57,"Adult"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Dead","male",23,"Adult"
"Second Class","Alive","female",36,"Adult"
"Second Class","Dead","male",28,"Adult"
"Second Class","Dead","male",51,"Adult"
"Second Class","Alive","male",32,"Adult"
"Second Class","Alive","female",19,"Teenager"
"Second Class","Dead","male",28,"Adult"
"Second Class","Alive","male",1,"Infant"
"Second Class","Alive","female",4,"Infant"
"Second Class","Alive","female",12,"Teenager"
"Second Class","Alive","female",36,"Adult"
"Second Class","Alive","male",34,"Adult"
"Second Class","Alive","female",19,"Teenager"
"Second Class","Dead","male",23,"Adult"
"Second Class","Dead","male",26,"Adult"
"Second Class","Dead","male",42,"Adult"
"Second Class","Dead","male",27,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Alive","female",15,"Teenager"
"Second Class","Alive","female",40,"Adult"
"Second Class","Alive","female",20,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Alive","female",36,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",42,"Adult"
"Second Class","Alive","female",42,"Adult"
"Second Class","Alive","male",0.8333,"Infant"
"Second Class","Alive","male",26,"Adult"
"Second Class","Alive","female",22,"Adult"
"Second Class","Alive","female",35,"Adult"
"Second Class","Dead","male",19,"Teenager"
"Second Class","Dead","female",44,"Adult"
"Second Class","Dead","male",54,"Adult"
"Second Class","Dead","male",52,"Adult"
"Second Class","Dead","male",37,"Adult"
"Second Class","Dead","female",29,"Adult"
"Second Class","Alive","female",25,"Adult"
"Second Class","Alive","female",45,"Adult"
"Second Class","Dead","male",29,"Adult"
"Second Class","Alive","female",28,"Adult"
"Second Class","Dead","male",29,"Adult"
"Second Class","Dead","male",28,"Adult"
"Second Class","Alive","male",24,"Adult"
"Second Class","Alive","female",8,"Infant"
"Second Class","Dead","male",31,"Adult"
"Second Class","Alive","female",31,"Adult"
"Second Class","Alive","female",22,"Adult"
"Second Class","Dead","female",30,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Alive","male",8,"Infant"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Alive","female",48,"Adult"
"Second Class","Alive","female",28,"Adult"
"Second Class","Dead","male",32,"Adult"
"Second Class","Dead","male",17,"Teenager"
"Second Class","Dead","male",29,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Alive","female",18,"Teenager"
"Second Class","Alive","female",34,"Adult"
"Second Class","Dead","male",54,"Adult"
"Second Class","Alive","male",8,"Infant"
"Second Class","Dead","male",42,"Adult"
"Second Class","Alive","female",34,"Adult"
"Second Class","Alive","female",27,"Adult"
"Second Class","Alive","female",30,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Dead","male",40,"Adult"
"Second Class","Alive","female",29,"Adult"
"Second Class","Dead","male",18,"Teenager"
"Second Class","Dead","male",36,"Adult"
"Second Class","Dead","female",38,"Adult"
"Second Class","Dead","male",35,"Adult"
"Second Class","Dead","male",38,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Alive","female",34,"Adult"
"Second Class","Dead","male",16,"Teenager"
"Second Class","Dead","male",26,"Adult"
"Second Class","Dead","male",47,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Dead","male",24,"Adult"
"Second Class","Dead","male",24,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Dead","male",52,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Alive","male",0.6667,"Infant"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","male",44,"Adult"
"Second Class","Alive","female",6,"Infant"
"Second Class","Dead","male",28,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Alive","female",7,"Infant"
"Second Class","Dead","male",43,"Adult"
"Second Class","Alive","female",45,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","male",49,"Adult"
"Second Class","Alive","female",48,"Adult"
"Second Class","Alive","female",55,"Adult"
"Second Class","Dead","male",24,"Adult"
"Second Class","Dead","male",32,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Dead","female",18,"Teenager"
"Second Class","Alive","female",20,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Dead","male",36,"Adult"
"Second Class","Alive","female",54,"Adult"
"Second Class","Dead","male",50,"Adult"
"Second Class","Dead","male",44,"Adult"
"Second Class","Alive","female",29,"Adult"
"Second Class","Dead","male",21,"Adult"
"Second Class","Alive","male",42,"Adult"
"Second Class","Dead","male",33,"Adult"
"Second Class","Alive","female",17,"Teenager"
"Second Class","Dead","male",42,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","male",47,"Adult"
"Second Class","Dead","male",24,"Adult"
"Second Class","Dead","male",22,"Adult"
"Second Class","Dead","male",32,"Adult"
"Second Class","Alive","female",23,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","female",22,"Adult"
"Second Class","Dead","male",35,"Adult"
"Second Class","Alive","female",45,"Adult"
"Second Class","Dead","male",57,"Adult"
"Second Class","Dead","male",31,"Adult"
"Second Class","Dead","female",26,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Alive","female",1,"Infant"
"Second Class","Alive","female",3,"Infant"
"Second Class","Dead","male",25,"Adult"
"Second Class","Alive","female",22,"Adult"
"Second Class","Alive","female",17,"Teenager"
"Second Class","Alive","female",34,"Adult"
"Second Class","Dead","male",36,"Adult"
"Second Class","Dead","male",24,"Adult"
"Second Class","Dead","male",50,"Adult"
"Second Class","Alive","female",42,"Adult"
"Second Class","Dead","female",57,"Adult"
"Second Class","Alive","male",1,"Infant"
"Second Class","Dead","male",31,"Adult"
"Second Class","Alive","female",24,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Dead","male",40,"Adult"
"Second Class","Dead","male",32,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Dead","male",46,"Adult"
"Second Class","Alive","female",13,"Teenager"
"Second Class","Alive","female",41,"Adult"
"Second Class","Alive","male",19,"Teenager"
"Second Class","Dead","male",39,"Adult"
"Second Class","Dead","male",48,"Adult"
"Second Class","Dead","male",27,"Adult"
"Second Class","Dead","male",54,"Adult"
"Second Class","Dead","male",39,"Adult"
"Second Class","Dead","male",16,"Teenager"
"Second Class","Dead","male",32.5,"Adult"
"Second Class","Alive","female",14,"Teenager"
"Second Class","Alive","male",2,"Infant"
"Second Class","Alive","male",3,"Infant"
"Second Class","Dead","male",36.5,"Adult"
"Second Class","Dead","male",26,"Adult"
"Second Class","Dead","male",19,"Teenager"
"Second Class","Dead","male",28,"Adult"
"Second Class","Alive","male",20,"Adult"
"Second Class","Alive","female",29,"Adult"
"Second Class","Dead","male",39,"Adult"
"Second Class","Alive","male",22,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Alive","male",29,"Adult"
"Second Class","Dead","male",28,"Adult"
"Second Class","Alive","female",50,"Adult"
"Second Class","Dead","male",19,"Teenager"
"Second Class","Dead","male",41,"Adult"
"Second Class","Alive","female",21,"Adult"
"Second Class","Alive","female",19,"Teenager"
"Second Class","Dead","male",43,"Adult"
"Second Class","Alive","female",32,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Alive","male",30,"Adult"
"Second Class","Dead","male",27,"Adult"
"Second Class","Alive","female",2,"Infant"
"Second Class","Alive","female",8,"Infant"
"Second Class","Alive","female",33,"Adult"
"Second Class","Dead","male",36,"Adult"
"Second Class","Dead","male",34,"Adult"
"Second Class","Alive","female",30,"Adult"
"Second Class","Alive","female",28,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Alive","male",0.8333,"Infant"
"Second Class","Alive","male",3,"Infant"
"Second Class","Alive","female",24,"Adult"
"Second Class","Alive","female",50,"Adult"
"Second Class","Dead","male",19,"Teenager"
"Second Class","Alive","female",21,"Adult"
"Second Class","Dead","male",26,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",27,"Adult"
"Second Class","Alive","female",25,"Adult"
"Second Class","Alive","female",18,"Teenager"
"Second Class","Alive","female",20,"Adult"
"Second Class","Alive","female",30,"Adult"
"Second Class","Dead","male",59,"Adult"
"Second Class","Alive","female",30,"Adult"
"Second Class","Dead","male",35,"Adult"
"Second Class","Alive","female",40,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",41,"Adult"
"Second Class","Dead","male",25,"Adult"
"Second Class","Dead","male",18.5,"Teenager"
"Second Class","Dead","male",14,"Teenager"
"Second Class","Alive","female",50,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Alive","female",28,"Adult"
"Second Class","Alive","female",27,"Adult"
"Second Class","Dead","male",29,"Adult"
"Second Class","Dead","female",27,"Adult"
"Second Class","Dead","male",40,"Adult"
"Second Class","Alive","female",31,"Adult"
"Second Class","Dead","male",30,"Adult"
"Second Class","Dead","male",23,"Adult"
"Second Class","Alive","female",31,"Adult"
"Second Class","Alive","female",12,"Teenager"
"Second Class","Alive","female",40,"Adult"
