"pclass","survived","sex","age","Category"
"Second Class","Alive","female",32.5,"Adult"
"Second Class","Dead","male",27,"Adult"
"Second Class","Alive","female",29,"Adult"
"Second Class","Alive","male",2,"Infant"
"Second Class","Alive","female",4,"Infant"
"Second Class","Alive","female",29,"Adult"
"Second Class","Alive","female",0.9167,"Infant"
"Second Class","Alive","female",5,"Infant"
"Second Class","Dead","male",36,"Adult"
"Second Class","Alive","female",33,"Adult"
"Second Class","Alive","male",31,"Adult"
"Second Class","Alive","female",26,"Adult"
"Second Class","Dead","female",24,"Adult"
"Third Class","Dead","male",42,"Adult"
"Third Class","Dead","male",13,"Teenager"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Alive","female",35,"Adult"
"Third Class","Alive","female",16,"Teenager"
"Third Class","Alive","male",25,"Adult"
"Third Class","Alive","male",20,"Adult"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Dead","male",30,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","female",40,"Adult"
"Third Class","Alive","male",0.8333,"Infant"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Alive","male",26,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",32,"Adult"
"Third Class","Alive","female",19,"Teenager"
"Third Class","Dead","male",4,"Infant"
"Third Class","Dead","female",6,"Infant"
"Third Class","Dead","female",2,"Infant"
"Third Class","Alive","female",17,"Teenager"
"Third Class","Dead","female",38,"Adult"
"Third Class","Dead","female",9,"Infant"
"Third Class","Dead","female",11,"Teenager"
"Third Class","Dead","male",39,"Adult"
"Third Class","Alive","male",27,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","female",39,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","male",5,"Infant"
"Third Class","Dead","male",9,"Infant"
"Third Class","Alive","male",3,"Infant"
"Third Class","Dead","male",13,"Teenager"
"Third Class","Alive","female",5,"Infant"
"Third Class","Dead","male",40,"Adult"
"Third Class","Alive","male",23,"Adult"
"Third Class","Alive","female",38,"Adult"
"Third Class","Alive","female",45,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",23,"Adult"
"Third Class","Dead","female",17,"Teenager"
"Third Class","Dead","male",30,"Adult"
"Third Class","Dead","male",23,"Adult"
"Third Class","Alive","female",13,"Teenager"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",32,"Adult"
"Third Class","Alive","female",33,"Adult"
"Third Class","Alive","female",0.75,"Infant"
"Third Class","Alive","female",0.75,"Infant"
"Third Class","Alive","female",5,"Infant"
"Third Class","Alive","female",24,"Adult"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Dead","male",40,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Alive","male",20,"Adult"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Dead","female",45,"Adult"
"Third Class","Dead","female",27,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",6,"Infant"
"Third Class","Dead","female",9,"Infant"
"Third Class","Dead","male",40,"Adult"
"Third Class","Dead","female",32,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","female",20,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","female",18.5,"Teenager"
"Third Class","Alive","male",21,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Dead","female",21,"Adult"
"Third Class","Dead","female",30,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",38,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","female",21,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Alive","female",16,"Teenager"
"Third Class","Dead","female",37,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",20,"Adult"
"Third Class","Alive","male",18,"Teenager"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",31,"Adult"
"Third Class","Dead","male",31,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","female",30,"Adult"
"Third Class","Dead","male",43,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","male",30,"Adult"
"Third Class","Alive","male",9,"Infant"
"Third Class","Alive","male",3,"Infant"
"Third Class","Alive","female",36,"Adult"
"Third Class","Dead","male",59,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Alive","female",17,"Teenager"
"Third Class","Dead","male",44,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",22.5,"Adult"
"Third Class","Alive","male",45,"Adult"
"Third Class","Dead","female",22,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Alive","female",30,"Adult"
"Third Class","Alive","male",29,"Adult"
"Third Class","Dead","male",0.3333,"Infant"
"Third Class","Dead","male",34,"Adult"
"Third Class","Dead","female",28,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Alive","male",36.5,"Adult"
"Third Class","Alive","female",36,"Adult"
"Third Class","Alive","male",30,"Adult"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Alive","male",1,"Infant"
"Third Class","Alive","female",0.1667,"Infant"
"Third Class","Dead","male",26,"Adult"
"Third Class","Alive","female",33,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Alive","female",19,"Teenager"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",42,"Adult"
"Third Class","Dead","male",43,"Adult"
"Third Class","Dead","male",32,"Adult"
"Third Class","Alive","male",19,"Teenager"
"Third Class","Alive","female",30,"Adult"
"Third Class","Dead","female",24,"Adult"
"Third Class","Alive","female",23,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Alive","male",24,"Adult"
"Third Class","Dead","male",23,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Dead","male",45,"Adult"
"Third Class","Dead","male",39,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",15,"Teenager"
"Third Class","Dead","male",47,"Adult"
"Third Class","Alive","female",5,"Infant"
"Third Class","Dead","male",40.5,"Adult"
"Third Class","Dead","male",40.5,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","female",21,"Adult"
"Third Class","Dead","female",9,"Infant"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Dead","female",48,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Alive","female",16,"Teenager"
"Third Class","Alive","male",9,"Infant"
"Third Class","Dead","male",33,"Adult"
"Third Class","Dead","male",41,"Adult"
"Third Class","Alive","female",31,"Adult"
"Third Class","Dead","male",38,"Adult"
"Third Class","Dead","male",9,"Infant"
"Third Class","Dead","male",1,"Infant"
"Third Class","Dead","male",11,"Teenager"
"Third Class","Dead","female",10,"Teenager"
"Third Class","Dead","female",16,"Teenager"
"Third Class","Dead","male",14,"Teenager"
"Third Class","Dead","male",40,"Adult"
"Third Class","Dead","female",43,"Adult"
"Third Class","Dead","male",51,"Adult"
"Third Class","Dead","male",32,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",37,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","female",24,"Adult"
"Third Class","Dead","female",17,"Teenager"
"Third Class","Dead","male",28,"Adult"
"Third Class","Alive","female",24,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",23.5,"Adult"
"Third Class","Dead","male",41,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Alive","female",45,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",11,"Teenager"
"Third Class","Alive","male",27,"Adult"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Alive","female",26,"Adult"
"Third Class","Dead","female",23,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","female",28,"Adult"
"Third Class","Alive","female",2,"Infant"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","male",43,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Alive","female",27,"Adult"
"Third Class","Dead","male",42,"Adult"
"Third Class","Dead","male",30,"Adult"
"Third Class","Dead","female",27,"Adult"
"Third Class","Dead","female",25,"Adult"
"Third Class","Alive","male",29,"Adult"
"Third Class","Alive","male",21,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",48,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",34,"Adult"
"Third Class","Alive","male",26,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Dead","male",31,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Alive","male",4,"Infant"
"Third Class","Alive","female",1,"Infant"
"Third Class","Dead","male",49,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Alive","female",27,"Adult"
"Third Class","Dead","male",23,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","female",20,"Adult"
"Third Class","Dead","female",21,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",30,"Adult"
"Third Class","Alive","male",21,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Alive","female",4,"Infant"
"Third Class","Alive","male",39,"Adult"
"Third Class","Dead","male",18.5,"Teenager"
"Third Class","Dead","male",34.5,"Adult"
"Third Class","Dead","male",44,"Adult"
"Third Class","Dead","female",22,"Adult"
"Third Class","Dead","male",26,"Adult"
"Third Class","Alive","female",4,"Infant"
"Third Class","Alive","male",29,"Adult"
"Third Class","Alive","female",26,"Adult"
"Third Class","Dead","female",1,"Infant"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","female",36,"Adult"
"Third Class","Alive","male",25,"Adult"
"Third Class","Dead","female",37,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Alive","male",26,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Alive","male",22,"Adult"
"Third Class","Dead","male",32,"Adult"
"Third Class","Dead","male",34.5,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Dead","male",39,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","female",25,"Adult"
"Third Class","Dead","female",45,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Dead","female",30,"Adult"
"Third Class","Alive","male",20,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",30,"Adult"
"Third Class","Dead","female",26,"Adult"
"Third Class","Dead","male",20.5,"Adult"
"Third Class","Alive","male",27,"Adult"
"Third Class","Dead","male",51,"Adult"
"Third Class","Alive","female",23,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Alive","male",24,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",29,"Adult"
"Third Class","Dead","female",30.5,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Alive","female",15,"Teenager"
"Third Class","Dead","female",35,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","female",19,"Teenager"
"Third Class","Dead","male",55.5,"Adult"
"Third Class","Alive","male",21,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Alive","male",6,"Infant"
"Third Class","Alive","female",27,"Adult"
"Third Class","Dead","male",34,"Adult"
"Third Class","Alive","female",24,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",22,"Adult"
"Third Class","Alive","female",15,"Teenager"
"Third Class","Alive","female",1,"Infant"
"Third Class","Alive","male",20,"Adult"
"Third Class","Alive","female",19,"Teenager"
"Third Class","Dead","male",33,"Adult"
"Third Class","Alive","male",12,"Teenager"
"Third Class","Alive","female",14,"Teenager"
"Third Class","Dead","female",29,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Alive","female",26,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",41,"Adult"
"Third Class","Alive","male",39,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",28.5,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Dead","male",23,"Adult"
"Third Class","Alive","female",22,"Adult"
"Third Class","Alive","male",9,"Infant"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",42,"Adult"
"Third Class","Dead","female",31,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","female",23,"Adult"
"Third Class","Dead","female",20,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Alive","female",31,"Adult"
"Third Class","Dead","male",2,"Infant"
"Third Class","Dead","male",6,"Infant"
"Third Class","Dead","female",3,"Infant"
"Third Class","Dead","female",8,"Infant"
"Third Class","Dead","female",29,"Adult"
"Third Class","Dead","male",1,"Infant"
"Third Class","Dead","male",7,"Infant"
"Third Class","Dead","male",2,"Infant"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Dead","male",14,"Teenager"
"Third Class","Dead","female",41,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","male",32,"Adult"
"Third Class","Dead","male",0.75,"Infant"
"Third Class","Dead","female",3,"Infant"
"Third Class","Dead","female",26,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Alive","male",25,"Adult"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","female",28,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Alive","male",32,"Adult"
"Third Class","Dead","male",17,"Teenager"
"Third Class","Dead","male",24,"Adult"
"Third Class","Dead","male",38,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",10,"Teenager"
"Third Class","Dead","male",4,"Infant"
"Third Class","Dead","male",7,"Infant"
"Third Class","Dead","male",2,"Infant"
"Third Class","Dead","male",8,"Infant"
"Third Class","Dead","female",39,"Adult"
"Third Class","Dead","female",22,"Adult"
"Third Class","Dead","male",35,"Adult"
"Third Class","Dead","male",50,"Adult"
"Third Class","Dead","female",47,"Adult"
"Third Class","Dead","female",2,"Infant"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","female",41,"Adult"
"Third Class","Dead","male",50,"Adult"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Dead","male",25,"Adult"
"Third Class","Dead","male",38.5,"Adult"
"Third Class","Dead","male",14.5,"Teenager"
"Third Class","Dead","male",24,"Adult"
"Third Class","Alive","female",21,"Adult"
"Third Class","Dead","male",39,"Adult"
"Third Class","Alive","female",1,"Infant"
"Third Class","Alive","female",24,"Adult"
"Third Class","Alive","female",4,"Infant"
"Third Class","Alive","male",25,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","male",24.5,"Adult"
"Third Class","Alive","male",29,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",40,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Dead","male",4,"Infant"
"Third Class","Dead","male",10,"Teenager"
"Third Class","Dead","female",9,"Infant"
"Third Class","Dead","female",2,"Infant"
"Third Class","Dead","male",40,"Adult"
"Third Class","Dead","female",45,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","male",30,"Adult"
"Third Class","Dead","male",32,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Alive","female",23,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",19,"Teenager"
"Third Class","Dead","female",22,"Adult"
"Third Class","Alive","male",31,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","female",2,"Infant"
"Third Class","Dead","female",29,"Adult"
"Third Class","Alive","male",16,"Teenager"
"Third Class","Alive","male",44,"Adult"
"Third Class","Dead","male",25,"Adult"
"Third Class","Alive","male",14,"Teenager"
"Third Class","Dead","male",24,"Adult"
"Third Class","Alive","male",25,"Adult"
"Third Class","Dead","male",34,"Adult"
"Third Class","Alive","male",0.4167,"Infant"
"Third Class","Alive","female",16,"Teenager"
"Third Class","Dead","male",32,"Adult"
"Third Class","Dead","male",30.5,"Adult"
"Third Class","Dead","male",44,"Adult"
"Third Class","Alive","male",25,"Adult"
"Third Class","Alive","male",7,"Infant"
"Third Class","Alive","female",9,"Infant"
"Third Class","Alive","female",29,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Alive","female",18,"Teenager"
"Third Class","Dead","male",11.5,"Teenager"
"Third Class","Dead","male",40.5,"Adult"
"Third Class","Dead","female",10,"Teenager"
"Third Class","Dead","male",36,"Adult"
"Third Class","Dead","female",30,"Adult"
"Third Class","Dead","male",33,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",28,"Adult"
"Third Class","Dead","male",47,"Adult"
"Third Class","Dead","female",18,"Teenager"
"Third Class","Dead","male",31,"Adult"
"Third Class","Dead","male",16,"Teenager"
"Third Class","Dead","female",31,"Adult"
"Third Class","Alive","male",22,"Adult"
"Third Class","Dead","male",20,"Adult"
"Third Class","Dead","female",14,"Teenager"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",22,"Adult"
"Third Class","Dead","male",32.5,"Adult"
"Third Class","Alive","female",38,"Adult"
"Third Class","Dead","male",51,"Adult"
"Third Class","Dead","male",18,"Teenager"
"Third Class","Dead","male",21,"Adult"
"Third Class","Alive","female",47,"Adult"
"Third Class","Dead","male",28.5,"Adult"
"Third Class","Dead","male",21,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","male",36,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Alive","female",15,"Teenager"
"Third Class","Dead","male",45.5,"Adult"
"Third Class","Dead","female",14.5,"Teenager"
"Third Class","Dead","male",26.5,"Adult"
"Third Class","Dead","male",27,"Adult"
"Third Class","Dead","male",29,"Adult"
